CNC-01,70.0,300.0,2.0,95.0
MOTOR-A,85.0,560.0,5.1,92.0
MOTOR-A,90.0,570.0,5.2,91.0
GEN-02,200.0,50.0,10.0,50.0
CNC-02,55.0,280.0,1.5,98.0
MOTOR-B,75.0,450.0,3.0,94.0
PRENSA-01,62.0,1200.0,4.5,88.0
EXTRUSORA-A,110.0,600.0,6.0,85.0
MOTOR-C,82.0,510.0,4.8,90.0
GEN-03,65.0,40.0,1.2,96.0
CNC-03,58.0,290.0,1.8,97.0
MOTOR-D,78.0,480.0,3.5,93.0
PRENSA-02,60.0,1100.0,4.0,89.0
EXTRUSORA-B,105.0,580.0,5.5,86.0
MOTOR-E,88.0,530.0,5.0,88.0
GEN-04,70.0,45.0,2.0,95.0
CNC-04,63.0,310.0,2.2,94.0
MOTOR-F,92.0,550.0,5.8,87.0
PRENSA-03,68.0,1250.0,5.2,84.0
EXTRUSORA-C,115.0,620.0,6.5,82.0
MOTOR-G,72.0,460.0,3.2,95.0
GEN-05,60.0,35.0,1.0,98.0
CNC-05,52.0,270.0,1.4,99.0
MOTOR-H,80.0,490.0,4.0,92.0
PRENSA-04,64.0,1150.0,4.2,90.0
EXTRUSORA-D,108.0,590.0,5.8,85.0
MOTOR-I,95.0,580.0,6.2,85.0
GEN-06,75.0,50.0,2.5,94.0
CNC-06,66.0,320.0,2.8,93.0
MOTOR-J,84.0,520.0,4.5,91.0
PRENSA-05,72.0,1300.0,6.0,80.0
EXTRUSORA-E,120.0,650.0,7.0,80.0
MOTOR-K,76.0,470.0,3.8,94.0
GEN-07,68.0,42.0,1.8,97.0
